Home Team	Away Team
Westerlo	Mechelen
Eupen	Oud-Heverlee Leuven
Kortrijk	Standard
St Truiden	Cercle Brugge
Anderlecht	Charleroi
RB Leipzig	Stuttgart
Bochum	Dortmund
Darmstadt	Union Berlin
FC Koln	Wolfsburg
Freiburg	Werder Bremen
Heidenheim	Hoffenheim
M'gladbach	Leverkusen
Mainz	Ein Frankfurt
Bayern Munich	Augsburg
Paderborn	Kaiserslautern
Schalke 04	Holstein Kiel
Elversberg	Fortuna Dusseldorf
Hansa Rostock	Osnabruck
Hertha	Greuther Furth
Hannover	Hamburg
Karlsruhe	Braunschweig
Nurnberg	Wehen
St Pauli	Magdeburg
Chelsea	Luton
Bournemouth	Tottenham
Arsenal	Fulham
Brentford	Crystal Palace
Everton	Wolves
Man United	Nott'm Forest
Brighton	West Ham
Burnley	Aston Villa
Sheffield United	Man City
Newcastle	Liverpool
Hull	Bristol City
Birmingham	Plymouth
Cardiff	Sheffield Weds
Coventry	Sunderland
Huddersfield	Norwich
Ipswich	Leeds
Millwall	Stoke
Preston	Swansea
Rotherham	Leicester
Southampton	QPR
West Brom	Middlesbrough
Watford	Blackburn
Bristol Rvs	Wycombe
Burton	Bolton
Cheltenham	Northampton
Exeter	Reading
Fleetwood Town	Shrewsbury
Leyton Orient	Cambridge
Lincoln	Blackpool
Oxford	Charlton
Peterboro	Derby
Port Vale	Carlisle
Stevenage	Portsmouth
Wigan	Barnsley
AFC Wimbledon	Forest Green
Barrow	Wrexham
Bradford	Crewe
Gillingham	Colchester
Harrogate	Morecambe
Mansfield	Stockport
Milton Keynes Dons	Doncaster
Newport County	Sutton
Notts County	Tranmere
Salford	Accrington
Swindon	Crawley Town
Walsall	Grimsby
Rochdale	Bromley
Solihull	Halifax
Southend	Eastleigh
Aldershot	Wealdstone
Altrincham	Chesterfield
Boreham Wood	Oldham
Dag and Red	Barnet
Dorking	York
Ebbsfleet	Kidderminster
Gateshead	Woking
Maidenhead	Oxford City
Hartlepool	Fylde
Nantes	Monaco
Marseille	Brest
Paris SG	Lens
Rennes	Le Havre
Clermont	Metz
Montpellier	Reims
Strasbourg	Toulouse
Lorient	Lille
Nice	Lyon
Bordeaux	Amiens
Auxerre	Grenoble
Bastia	Troyes
Caen	Ajaccio
Dunkerque	Angers
Guingamp	Pau FC
Paris FC	Concarneau
Quevilly Rouen	Laval
Rodez	Valenciennes
Annecy	St Etienne
Panetolikos	Giannina
Asteras Tripolis	OFI Crete
Panathinaikos	Volos NFC
AEK	Panserraikos
Lamia	Aris
PAOK	Kifisias
Olympiakos	Atromitos
Frosinone	Atalanta
Monza	Empoli
Milan	Torino
Verona	Roma
Fiorentina	Lecce
Juventus	Bologna
Lazio	Genoa
Napoli	Sassuolo
Salernitana	Udinese
Cagliari	Inter
Sampdoria	Pisa
Venezia	Cosenza
Como	Reggiana
Cremonese	Bari
FeralpiSalo	Sudtirol
Modena	Ascoli
Parma	Cittadella
Catanzaro	Ternana
Nijmegen	Waalwijk
Excelsior	For Sittard
Zwolle	Utrecht
Feyenoord	Almere City
Heerenveen	Sparta Rotterdam
Estrela	Estoril
Arouca	Portimonense
Farense	Chaves
Gil Vicente	Benfica
Boavista	Casa Pia
Guimaraes	Vizela
Sp Lisbon	Famalicao
Rio Ave	Porto
Ross County	Rangers
Celtic	St Johnstone
Hibernian	Livingston
Motherwell	Kilmarnock
Dundee	Hearts
St Mirren	Aberdeen
Airdrie Utd	Inverness C
Ayr	Dundee United
Dunfermline	Raith Rvs
Morton	Arbroath
Partick	Queens Park
Annan Athletic	Edinburgh City
Cove Rangers	Queen of Sth
Hamilton	Montrose
Stirling	Kelty Hearts
Alloa	Falkirk
Elgin	East Fife
Forfar	Bonnyrigg Rose
Peterhead	Spartans
Stenhousemuir	Dumbarton
Stranraer	Clyde
Las Palmas	Sociedad
Celta	Real Madrid
Cadiz	Almeria
Granada	Mallorca
Sevilla	Girona
Villarreal	Barcelona
Valencia	Osasuna
Ath Bilbao	Betis
Getafe	Alaves
Vallecano	Ath Madrid
Cartagena	Levante
Burgos	Oviedo
Tenerife	Zaragoza
Elche	Villarreal B
Valladolid	Alcorcon
Ferrol	Sp Gijon
Amorebieta	Andorra
Mirandes	Espanol
Leganes	Albacete
Eldense	Eibar
Santander	Huesca
Konyaspor	Gaziantep
Kasimpasa	Pendikspor
Trabzonspor	Rizespor
Istanbulspor	Galatasaray
Sivasspor	Antalyaspor
Karagumruk	Ankaragucu
Kayserispor	Samsunspor
Alanyaspor	Hatayspor
Fenerbahce	Buyuksehyr
Ad. Demirspor	Besiktas



